"Majority.protein.IDs","Protein.IDs","Peptide.counts..unique.","NObs_NoMineral","NObs_Mineral","Mean_NoMineral","Mean_Mineral","pvalue_Gtest_MvsNoM","pvalue_ANOVA_MvsNoM","Log2FC_MvsNoM","Flag_0.05_ANOVA_MvsNoM","Flag_0.05_Gtest_MvsNoM","Neg_Log10_pvalue"
"1206-4583_t_tx1;tr|A0A420S3S0|A0A420S3S0_FUSOX;tr|A0A420SLX5|A0A420SLX5_FUSOX;tr|A0A420PZH2|A0A420PZH2_FUSOX;tr|A0A2H3TKX0|A0A2H3TKX0_FUSOX","1206-4583_t_tx1;tr|A0A420S3S0|A0A420S3S0_FUSOX;tr|A0A420SLX5|A0A420SLX5_FUSOX;tr|A0A420PZH2|A0A420PZH2_FUSOX;tr|A0A2H3TKX0|A0A2H3TKX0_FUSOX;tr|K3VMJ4|K3VMJ4_FUSPC;tr|I1RNA3|I1RNA3_GIBZE","13;10;10;10;10;6;6",3,3,26.1519037747069,26.5686735919609,1,0.139297955140183,0.416769817253982,0,0,0.85605525886572
"1208-15710_t_tx2;tr|A0A420PJC0|A0A420PJC0_FUSOX;tr|A0A420Q1I4|A0A420Q1I4_FUSOX;tr|A0A2H3TGM8|A0A2H3TGM8_FUSOX;tr|A0A098DQB4|A0A098DQB4_GIBZE;tr|K3W1C0|K3W1C0_FUSPC","1208-15710_t_tx2;tr|A0A420PJC0|A0A420PJC0_FUSOX;tr|A0A420Q1I4|A0A420Q1I4_FUSOX;tr|A0A2H3TGM8|A0A2H3TGM8_FUSOX;tr|A0A098DQB4|A0A098DQB4_GIBZE;tr|K3W1C0|K3W1C0_FUSPC","2;2;2;2;1;1",2,3,22.9468500835904,22.6559598895192,0.2076622768584,0.675702438666435,-0.290890194071135,0,0,0.170244513667204
"1208-15711_t_tx1;tr|A0A2H3TPU3|A0A2H3TPU3_FUSOX;tr|K3VPB4|K3VPB4_FUSPC;tr|I1RT36|I1RT36_GIBZE","1208-15711_t_tx1;tr|A0A2H3TPU3|A0A2H3TPU3_FUSOX;tr|K3VPB4|K3VPB4_FUSPC;tr|I1RT36|I1RT36_GIBZE","23;22;17;17",3,3,28.9585537912002,27.3456926689116,1,0.0365152031134435,-1.61286112228865,-1,0,1.43752627928099
"1208-15712_t_tx1","1208-15712_t_tx1;tr|A0A420RGT3|A0A420RGT3_FUSOX;tr|A0A420Q1P8|A0A420Q1P8_FUSOX;tr|A0A420Q1F5|A0A420Q1F5_FUSOX;tr|A0A420P5I4|A0A420P5I4_FUSOX;tr|A0A2H3T545|A0A2H3T545_FUSOX;tr|I1RT35|I1RT35_GIBZE;tr|K3VL31|K3VL31_FUSPC","9;4;4;4;4;4;2;1",3,3,25.6205631358343,23.6538831881686,1,0.0311814306044908,-1.96667994766571,-1,0,1.50610396325291
"1208-15721_t_tx1;tr|A0A420Q1N0|A0A420Q1N0_FUSOX;tr|A0A2H3TPT3|A0A2H3TPT3_FUSOX","1208-15721_t_tx1;tr|A0A420Q1N0|A0A420Q1N0_FUSOX;tr|A0A2H3TPT3|A0A2H3TPT3_FUSOX","3;1;1",3,3,24.5751143967023,25.1801241482485,1,0.322680063176335,0.605009751546191,0,0,0.491227866700156
"1208-15722_t_tx1","1208-15722_t_tx1;tr|A0A420Q1R7|A0A420Q1R7_FUSOX;tr|A0A2H3T537|A0A2H3T537_FUSOX;tr|K3VL22|K3VL22_FUSPC;tr|A0A1C3YL17|A0A1C3YL17_GIBZE","5;2;2;1;1",3,1,NA,NA,0.05067190234699,NA,NA,0,0,NA
"1208-17846_t_tx1;tr|A0A420QC70|A0A420QC70_FUSOX;tr|A0A420P7V4|A0A420P7V4_FUSOX;tr|A0A420MHD3|A0A420MHD3_FUSOX;tr|A0A2H3T1M0|A0A2H3T1M0_FUSOX","1208-17846_t_tx1;tr|A0A420QC70|A0A420QC70_FUSOX;tr|A0A420P7V4|A0A420P7V4_FUSOX;tr|A0A420MHD3|A0A420MHD3_FUSOX;tr|A0A2H3T1M0|A0A2H3T1M0_FUSOX","4;2;2;2;2",3,1,NA,NA,0.05067190234699,NA,NA,0,0,NA
"1208-17851_t_tx1","1208-17851_t_tx1;tr|A0A420QC94|A0A420QC94_FUSOX;tr|A0A420T271|A0A420T271_FUSOX;tr|A0A420PRM1|A0A420PRM1_FUSOX;tr|A0A420N7M1|A0A420N7M1_FUSOX;tr|A0A2H3T1E0|A0A2H3T1E0_FUSOX;1172-2989_t_tx1;1115-3910_t_tx1","22;10;10;10;10;10;7;5",3,3,29.8083007257671,31.7488953164128,1,0.00120326014690283,1.94059459064565,1,0,2.91964046729837
"1208-8883_t_tx1;tr|A0A420SAF0|A0A420SAF0_FUSOX;tr|A0A420MLL6|A0A420MLL6_FUSOX","1208-8883_t_tx1;tr|A0A420SAF0|A0A420SAF0_FUSOX;tr|A0A420MLL6|A0A420MLL6_FUSOX;tr|A0A420R6F9|A0A420R6F9_FUSOX;tr|A0A2H3SZ11|A0A2H3SZ11_FUSOX","8;4;4;3;1",3,3,26.5170088869282,27.0495914911807,1,0.617835937809605,0.532582604252458,0,0,0.209126833589652
"1208-8884_t_tx1;tr|A0A420PC83|A0A420PC83_FUSOX;tr|A0A420MLE3|A0A420MLE3_FUSOX;tr|A0A420SA25|A0A420SA25_FUSOX;tr|A0A2H3SWB8|A0A2H3SWB8_FUSOX","1208-8884_t_tx1;tr|A0A420PC83|A0A420PC83_FUSOX;tr|A0A420MLE3|A0A420MLE3_FUSOX;tr|A0A420SA25|A0A420SA25_FUSOX;tr|A0A2H3SWB8|A0A2H3SWB8_FUSOX","12;6;6;5;5",3,2,26.3630906664366,25.4030661361917,0.2076622768584,0.0658688590326317,-0.960024530244979,0,0,1.18131985925658
"1209-10779_t_tx1","1209-10779_t_tx1;tr|A0A2H3SQM3|A0A2H3SQM3_FUSOX;tr|A0A420S0A2|A0A420S0A2_FUSOX;tr|A0A420PF26|A0A420PF26_FUSOX;tr|A0A420PZE4|A0A420PZE4_FUSOX","3;1;1;1;1",3,3,23.148757830321,23.5156652687216,1,0.73291483152993,0.366907438400688,0,0,0.134946489677575
"1209-10792_t_tx1","1209-10792_t_tx1;tr|A0A420P121|A0A420P121_FUSOX;tr|A0A2H3T257|A0A2H3T257_FUSOX;tr|A0A098D6G1|A0A098D6G1_GIBZE;tr|K3W3L1|K3W3L1_FUSPC","27;10;10;2;1",3,3,30.5112118132053,29.7841131640149,1,0.380569998672451,-0.727098649190438,0,0,0.419565451268552
"1209-10795_t_tx1;tr|I1REZ3|I1REZ3_GIBZE;tr|A0A420P0P1|A0A420P0P1_FUSOX;tr|A0A2H3TIN7|A0A2H3TIN7_FUSOX;tr|A0A420SMJ5|A0A420SMJ5_FUSOX;tr|A0A420RXB5|A0A420RXB5_FUSOX;tr|A0A420PLA5|A0A420PLA5_FUSOX;tr|K3VUK1|K3VUK1_FUSPC","1209-10795_t_tx1;tr|I1REZ3|I1REZ3_GIBZE;tr|A0A420P0P1|A0A420P0P1_FUSOX;tr|A0A2H3TIN7|A0A2H3TIN7_FUSOX;tr|A0A420SMJ5|A0A420SMJ5_FUSOX;tr|A0A420RXB5|A0A420RXB5_FUSOX;tr|A0A420PLA5|A0A420PLA5_FUSOX;tr|K3VUK1|K3VUK1_FUSPC","2;2;1;1;1;1;1;1",2,2,22.0307841321223,21.3239202833626,NA,0.629786203329314,-0.706863848759681,0,0,0.20080685764609
