"Majority.protein.IDs","no_mineral_MPLEx_01","no_mineral_MPLEx_02","no_mineral_MPLEx_03","mineral_MPLEx_01","mineral_MPLEx_02","mineral_MPLEx_03"
"tr|A0A2H3SZF4|A0A2H3SZF4_FUSOX;1012-11398_t_tx1;tr|K3VXF1|K3VXF1_FUSPC;tr|A0A1C3YLD6|A0A1C3YLD6_GIBZE",21.6813554314219,22.7027935873625,NA,21.6602771347048,NA,22.1361580783235
"tr|K3VED0|K3VED0_FUSPC;tr|I1RZK5|I1RZK5_GIBZE;tr|A0A2H3TAT5|A0A2H3TAT5_FUSOX;1012-11402_t_tx1",22.1620643257448,22.5396060447524,22.8661281988019,NA,NA,NA
"tr|K3VZC9|K3VZC9_FUSPC;tr|I1RZK6|I1RZK6_GIBZE;tr|A0A2H3TJ56|A0A2H3TJ56_FUSOX;1012-11403_t_tx1",22.2726247260037,24.3107672220964,22.2393832327065,22.256601587897,NA,22.4297321880819
"1012-4898_t_tx1;tr|A0A420S5I4|A0A420S5I4_FUSOX;tr|A0A420NR17|A0A420NR17_FUSOX;tr|A0A2H3TXZ6|A0A2H3TXZ6_FUSOX",24.9680356693315,25.4063068569714,25.5836669573959,27.820134307019,28.2617877960584,26.9546027603229
"1012-4899_t_tx1",24.4521772447099,22.3742753247575,24.1882614259292,22.7688989238457,22.355977466349,23.9687741260055
"1012-4901_t_tx1;tr|K3VVC6|K3VVC6_FUSPC;tr|I1RJW6|I1RJW6_GIBZE",28.0256826808113,28.4170547600361,28.2066555337162,27.5807315315084,27.9044187058307,27.8944803955832
"1012-4903_t_tx1;tr|K3VUX1|K3VUX1_FUSPC;tr|I1RJW4|I1RJW4_GIBZE;tr|A0A2H3TPP3|A0A2H3TPP3_FUSOX",25.8743437593342,24.8387022568612,26.1335739893556,25.252762342118,23.8834934912696,23.5746353241017
"1012-4914_t_tx1;tr|A0A420QB19|A0A420QB19_FUSOX;tr|A0A2H3TPQ9|A0A2H3TPQ9_FUSOX;tr|K3VWS3|K3VWS3_FUSPC;tr|I1RJV4|I1RJV4_GIBZE",29.9530640000214,30.1748468998593,30.1484762857146,29.5748009028549,28.7468607889229,30.0887132115179
"1012-4915_t_tx1;tr|A0A2H3U2C7|A0A2H3U2C7_FUSOX;tr|I1RJV3|I1RJV3_GIBZE;tr|K3VUV9|K3VUV9_FUSPC",29.6444103982043,29.8264297342037,30.0124545601398,30.3678163120807,30.2273271079562,30.1046696099651
"tr|A0A420SJT9|A0A420SJT9_FUSOX;tr|A0A420M850|A0A420M850_FUSOX;tr|A0A2H3TLW0|A0A2H3TLW0_FUSOX;1012-4917_t_tx1;tr|K3W3N3|K3W3N3_FUSPC;tr|I1RJV1|I1RJV1_GIBZE",25.2132696044128,25.477917370863,25.3451482999245,NA,21.9323354583889,21.6084795913211
"1012-4919_t_tx1;tr|A0A2H3TY16|A0A2H3TY16_FUSOX;tr|A0A420P886|A0A420P886_FUSOX;sp|Q4IF76|DBP2_GIBZE;tr|K3VWS1|K3VWS1_FUSPC",27.540201849447,27.4449824294139,27.4944120617417,25.2959012432942,25.699209733969,26.6014609233464
"1012-4920_t_tx1",23.9038732145676,24.8327809115205,23.9889640130862,23.5137331646773,22.1732739202311,25.1427582370536
"1012-4921_t_tx1;tr|A0A420RJ29|A0A420RJ29_FUSOX;tr|A0A2H3TLW7|A0A2H3TLW7_FUSOX;tr|A0A420S5Q0|A0A420S5Q0_FUSOX;tr|K3V331|K3V331_FUSPC;tr|I1RJU8|I1RJU8_GIBZE",29.7589404389225,28.9201185677267,29.8877265060565,28.5798511952345,27.920765887457,30.1511406895411
"1012-4923_t_tx1;tr|A0A420RJ43|A0A420RJ43_FUSOX;tr|A0A2H3TPR8|A0A2H3TPR8_FUSOX;tr|A0A420S5E3|A0A420S5E3_FUSOX",24.159242795747,25.669116932685,23.8984584972468,21.9441614741326,NA,24.4958417667502
"1012-4925_t_tx1;tr|A0A420P8B3|A0A420P8B3_FUSOX;tr|A0A2H3TM65|A0A2H3TM65_FUSOX",31.0308423194773,32.4311120103707,30.5575299728444,26.2557860514026,25.5403480433982,30.9497249116937
"1012-4927_t_tx1",25.4540588315616,25.5614810479707,24.2416186354947,24.9559560832993,22.7277171640071,26.4390525701846
"tr|A0A2H3TLX7|A0A2H3TLX7_FUSOX;1012-4930_t_tx1;tr|K3VUU1|K3VUU1_FUSPC;tr|I1RJT9|I1RJT9_GIBZE",23.4920332335241,NA,25.3058435076789,24.2783834820362,26.1818661516731,NA
"1012-4932_t_tx1;tr|A0A2H3TM04|A0A2H3TM04_FUSOX",29.0466296887584,28.8993950135086,29.3755394367367,28.2131047835269,26.614437714004,28.9465503075295
"1013-266_t_tx1",21.8138612618717,21.5711868541504,21.2353388465435,22.6653585977574,23.7762360860099,21.9411660415651
"1013-267_t_tx1",24.3324958437144,23.3483101397415,24.847740628533,25.1661222682983,24.3304893763788,25.2727695830796
"1013-268_t_tx1;tr|A0A2H3TJ36|A0A2H3TJ36_FUSOX;tr|A0A420P193|A0A420P193_FUSOX;tr|A0A420SG33|A0A420SG33_FUSOX;tr|A0A420RE32|A0A420RE32_FUSOX",23.5020049990059,23.0806728471617,22.5720726949635,NA,NA,22.5934737714491
"1013-276_t_tx1;tr|A0A2H3T7Y2|A0A2H3T7Y2_FUSOX;tr|A0A420SG27|A0A420SG27_FUSOX;tr|A0A420PGH5|A0A420PGH5_FUSOX;tr|A0A420P1B4|A0A420P1B4_FUSOX",29.7216855420452,29.9275519004387,29.8692341096697,29.2108035848012,28.2691983402296,29.8226193802839
"1013-277_t_tx1;tr|A0A2H3TAQ2|A0A2H3TAQ2_FUSOX;tr|K3VWI5|K3VWI5_FUSPC;tr|I1RUQ5|I1RUQ5_GIBZE",27.6160994660634,27.9592320917498,27.4628598754464,28.2188841838475,27.9875430201782,28.3075665335335
"1013-280_t_tx1;tr|A0A2H3T005|A0A2H3T005_FUSOX;tr|A0A420P0W9|A0A420P0W9_FUSOX;tr|K3V718|K3V718_FUSPC;tr|I1RUQ3|I1RUQ3_GIBZE",32.4150010977724,32.3879689028772,32.7168989088355,31.9442107277201,30.7755539927338,32.6700517417168
"1013-283_t_tx1;tr|A0A420PGB9|A0A420PGB9_FUSOX;tr|A0A420RE09|A0A420RE09_FUSOX;tr|A0A420P1A7|A0A420P1A7_FUSOX;tr|A0A2H3SZB3|A0A2H3SZB3_FUSOX",24.6983441350266,24.1421313700167,24.8825740677196,22.1201060471796,NA,24.1572233863654
