"Majority.protein.IDs","SampleID","value","Group","Protein"
"1003-5955_t_tx1;tr|A0A420TUR6|A0A420TUR6_FUSOX;tr|A0A420MXX7|A0A420MXX7_FUSOX;tr|A0A2H3T4Z4|A0A2H3T4Z4_FUSOX;tr|K3VBP3|K3VBP3_FUSPC;tr|A0A1C3YHU3|A0A1C3YHU3_GIBZE","no_mineral_MPLEx_03",23.3323045470726,"No Mineral","1003-5955_t_tx1"
"1003-5955_t_tx1;tr|A0A420TUR6|A0A420TUR6_FUSOX;tr|A0A420MXX7|A0A420MXX7_FUSOX;tr|A0A2H3T4Z4|A0A2H3T4Z4_FUSOX;tr|K3VBP3|K3VBP3_FUSPC;tr|A0A1C3YHU3|A0A1C3YHU3_GIBZE","mineral_MPLEx_01",26.9239576929204,"Mineral","1003-5955_t_tx1"
"1003-5955_t_tx1;tr|A0A420TUR6|A0A420TUR6_FUSOX;tr|A0A420MXX7|A0A420MXX7_FUSOX;tr|A0A2H3T4Z4|A0A2H3T4Z4_FUSOX;tr|K3VBP3|K3VBP3_FUSPC;tr|A0A1C3YHU3|A0A1C3YHU3_GIBZE","mineral_MPLEx_02",26.169758657566,"Mineral","1003-5955_t_tx1"
"1003-5955_t_tx1;tr|A0A420TUR6|A0A420TUR6_FUSOX;tr|A0A420MXX7|A0A420MXX7_FUSOX;tr|A0A2H3T4Z4|A0A2H3T4Z4_FUSOX;tr|K3VBP3|K3VBP3_FUSPC;tr|A0A1C3YHU3|A0A1C3YHU3_GIBZE","mineral_MPLEx_03",24.5174500437293,"Mineral","1003-5955_t_tx1"
"1005-10353_t_tx1;tr|A0A420U9P1|A0A420U9P1_FUSOX;tr|A0A2H3T8J1|A0A2H3T8J1_FUSOX;tr|A0A420NHY2|A0A420NHY2_FUSOX","no_mineral_MPLEx_01",29.3548060851939,"No Mineral","1005-10353_t_tx1"
"1005-10353_t_tx1;tr|A0A420U9P1|A0A420U9P1_FUSOX;tr|A0A2H3T8J1|A0A2H3T8J1_FUSOX;tr|A0A420NHY2|A0A420NHY2_FUSOX","no_mineral_MPLEx_02",29.0288253022752,"No Mineral","1005-10353_t_tx1"
"1005-10353_t_tx1;tr|A0A420U9P1|A0A420U9P1_FUSOX;tr|A0A2H3T8J1|A0A2H3T8J1_FUSOX;tr|A0A420NHY2|A0A420NHY2_FUSOX","no_mineral_MPLEx_03",29.1080507857142,"No Mineral","1005-10353_t_tx1"
"1005-10353_t_tx1;tr|A0A420U9P1|A0A420U9P1_FUSOX;tr|A0A2H3T8J1|A0A2H3T8J1_FUSOX;tr|A0A420NHY2|A0A420NHY2_FUSOX","mineral_MPLEx_01",27.6712093348605,"Mineral","1005-10353_t_tx1"
"1005-10353_t_tx1;tr|A0A420U9P1|A0A420U9P1_FUSOX;tr|A0A2H3T8J1|A0A2H3T8J1_FUSOX;tr|A0A420NHY2|A0A420NHY2_FUSOX","mineral_MPLEx_02",26.8754607061708,"Mineral","1005-10353_t_tx1"
"1005-10353_t_tx1;tr|A0A420U9P1|A0A420U9P1_FUSOX;tr|A0A2H3T8J1|A0A2H3T8J1_FUSOX;tr|A0A420NHY2|A0A420NHY2_FUSOX","mineral_MPLEx_03",28.3270288158843,"Mineral","1005-10353_t_tx1"
